종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시가총액
삼성전자,005930,70200,상승,+2.03%,10927188,768443,4155586
SK하이닉스,000660,261000,상승,+0.97%,1934817,495911,1900086
LG에너지솔루션,373220,388500,상승,+1.17%,128743,49705,909090
삼성바이오로직스,207940,1026000,하락,-0.48%,26241,26917,730245
한화에어로스페이스,012450,929000,하락,-0.75%,82131,76661,479024
KB금융,105560,114500,하락,-0.95%,422436,48289,436774
현대차,005380,212000,상승,+0.71%,265695,56520,434086
HD현대중공업,329180,479500,상승,+2.79%,198139,95385,425667
두산에너빌리티,034020,66200,하락,-0.15%,4654142,311120,424051
기아,000270,101800,보합,0.00%,293668,30045,404831
셀트리온,068270,173200,하락,-2.97%,464052,80892,399954
NAVER,035420,233000,상승,+1.97%,620391,143244,369158
한화오션,042660,118300,상승,+3.59%,3026508,356919,362487
신한지주,055550,68800,상승,+0.15%,480497,33082,334021
삼성물산,028260,163700,상승,+0.49%,117828,19358,278252
카카오,035720,61800,상승,+8.80%,8167558,491976,273164
한국전력,015760,42300,상승,+2.79%,5871228,245093,271551
현대모비스,012330,295500,상승,+3.32%,111979,32802,271254
HD한국조선해양,009540,363000,상승,+3.71%,148080,52881,256906
삼성생명,032830,123550,하락,-0.44%,101102,12461,247100
하나금융지주,086790,85300,하락,-0.23%,412034,35147,242869
POSCO홀딩스,005490,296500,하락,-0.67%,123341,36507,239966
HMM,011200,23175,상승,+0.54%,396775,9208,237553
현대로템,064350,193900,하락,-1.77%,496318,96948,211627
LG화학,051910,298750,하락,-0.75%,122250,36449,210895
메리츠금융지주,138040,113600,하락,-0.87%,132706,15038,204496
삼성화재,000810,437500,보합,0.00%,20283,8890,201299
SK스퀘어,402340,141100,상승,+0.57%,186400,25831,187015
우리금융지주,316140,25100,상승,+0.20%,1113087,27861,186390
HD현대일렉트릭,267260,503000,하락,-0.79%,84999,43170,181317
삼성SDI,006400,217500,하락,-0.23%,348372,75716,175274
삼성중공업,010140,19545,하락,-0.28%,3711251,72802,171996
KT&G,033780,137700,하락,-1.99%,293440,40158,168080
